author,title,journal,Volume,Number,Pages,year,url
"Annis, R; Anderson, S; Bayliss, A; RAMSEY, C BRONK; Huntley, J; Jones, J; Marshall, P; McGormac, FG; Pearson, G; Rogers, PW; ","An unusual group of Early Bronze Age burials from Windmill Fields, Ingleby Barwick, Stockton-on-Tees","Unpublished report, Tees Archaeology",,,,1997,
"Marshall, P; Mulville, J; Parker Pearson, M; Ingram, C; ","The Late Bronze Age and Early Iron Age community at Cladh Hallan, South Uist: Excavations in 1999","Unpublished Dept. of Archaeology and Prehistory report, University of Sheffield",,,,1999,
"Johnson, S; Neal, DS; Snape, M; Ramsey, CB; Croom, A; Cselik, A; Langston, J; Marshall, P; ","THE RE-EXCAVATION AND STUDY OF THE HELICON MOSAIC, ALDBOROUGH ROMAN TOWN",Yorkshire Archaeological Journal,74,,113-134,2000,
"Smith, Helen; Marshall, Peter; Pearson, Mike Parker; ",Reconstructing house activity areas,Environmental archaeology: meaning and purpose,,,249-270,2001,
"Parker Pearson, M; Marshall, P; Mulville, J; Smith, H; ",The Dead Beneath their Feet: Housewarming c. 1000 BC–Roundhouse Rituals at Cladh Hallan,Past,40,,01-Feb,2002,
"RAMSEY, C BRONK; CROOM, ALEXANDRA; CSELIK, ANNA; LANGSTON, JOY; MARSHALL, PETER; YORKSHIRE, FOUR COIN HOARDS FROM NORTH; BARCLAY, CRAIG; ","ALDBOROUGH ROMAN TOWN: EXCAVATIONS BY MISS D. CHARLESWORTH, 1961-73, AND BY",The Yorkshire Archaeological Journal,74,,266,2002,
"Dodd, Anne; Mellor, Maureen; Munby, Julian; Robinson, Mark; Wilkinson, David; Allen, Leigh; Armour-Chelu, Miranda; Barclay, Alistair; Bertram, Jerome Fr; Blair, John; ","OXFORD BEFORE THE UNIVERSITY The Late Saxon and Norman Archaeology of the Thames Crossing, the Defences and the Town",,,,,2003,
"Marshall, P; ",Reconstructing the environmental impact of past metallurgical activities,The environmental archaeology of industry,,20,10,2003,
"Bayliss, Alex; Marshall, Peter; Sidell, Jane; ",A puzzling body from the river Thames in London,Radiocarbon,46,1,285-291,2004,
"Marshall, Peter; Miles, Daniel; Heath, David; ",Tree-Ring dating at Salisbury Cathedral: informing repairs,Conservation Bulletin,4,,p. 04-05,2004,
"Marshall, P; van der Plicht, J; ",Dating,RJ Schulting ‘… pursuing a rabbit in Burrington Combe’: New research on the Early Mesolithic burial cave of Aveline’s Hole. Proceedings of the University of Bristol Spelaeological Society,23,3,226-233,2005,
"Pearson, Mike Parker; Chamberlain, Andrew; Craig, Oliver; Marshall, Peter; Mulville, Jacqui; Smith, Helen; Chenery, Carolyn; Collins, Matthew; Cook, Gordon; Craig, Geoffrey; ",Evidence for mummification in bronze age Britain,antiquity,79,305,529-546,2005,
"Toms, PS; Hosfield, RT; Chambers, JC; Green, CP; Marshall, P; ","Optical dating of the Broom Palaeolithic sites, Devon & Dorset",Centre for Archaeology Report,16,,2005,2005,
"A-AG, R Loveo; ",The antler maceheads dating project,Proceedings of the prehistoric Society,73,,381-392,2007,
"Best, Jo; Gent, Tim; Ramsey, C Bronk; Brunning, R; Cook, G; Friendship-Taylor, D; Hamilton, WD; Jones, J; Marshall, PD; van der Plicht, H; ","Bronze Age burnt mounds and early medieval timber structures at Town Farm Quarry, Burlescombe, Devon",Archaeological Journal,164,1,Jan-79,2007,
"Brunning, RICHARD; Ramsey, CB; Cameron, N; Cook, G; Davies, P; Gale, R; Groves, C; Hamilton, WD; Hogan, D; Jones, J; ",Monuments at risk in Somerset‟ s peatlands,Archaeology from the Wetlands: recent perspectives,,,191-198,2007,
