site_name,longitude,latitude,blog_path,description,period,dating_method
Stonehenge,-1.8262,51.1789,/blog/stonehenge/index.html,Neolithic monument in Wiltshire,Neolithic,Radiocarbon
Woodhenge,-1.7869,51.192,/blog/woodhenge/index.html,Timber circle near Stonehenge,Neolithic,Radiocarbon
Ness of Brodgar,-3.21499,58.99705,/blog/ness-of-brodgar/index.html,Neolithic site in Orkney,Neolithic,Radiocarbon
Mount Pleasant,-2.412265,50.708221,/blog/mount-pleasant/index.html,Something,Neolithic,Radiocarbon
Lismullin,-6.587164,53.599294,/blog/lismullin/index.html,Something,Iron Age,Radiocarbon
Banks,-2.9379142,58.734772,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Isbister,-2.9168771,58.749294,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Smerquoy,-3.0415527,58.982758,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Unstan,-3.249425,58.986577,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Stones of Stenness,-3.2082776,58.994152,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Barnhouse,-3.2067683,58.995783,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Wideford Hill,-3.0337839,58.996381,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Stonehall,-3.1020158,58.996537,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Maeshowe,-3.1883467,58.996582,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Ness of BrodgarB,-3.2149934,58.997053,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Quanterness,-3.0147489,59.000124,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Ring of Brodgar,-3.2297693,59.001404,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,OSL
Crossiecrown,-3.0062311,59.006477,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Knowes of Trotty,-3.1483195,59.038526,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
