site_name,longitude,latitude,blog_path,description,period,dating_method
Stonehenge,-1.8262,51.1789,/blog/stonehenge/index.html,Neolithic monument in Wiltshire,Neolithic,Radiocarbon
Woodhenge,-1.7869,51.192,/blog/woodhenge/index.html,Timber circle near Stonehenge,Neolithic,Radiocarbon
Ness of Brodgar,-3.21499,58.99705,/blog/ness-of-brodgar/index.html,Neolithic site in Orkney,Neolithic,Radiocarbon
Mount Pleasant,-2.412265,50.708221,/blog/mount-pleasant/index.html,Something,Neolithic,Radiocarbon
Lismullin,-6.587164,53.599294,/blog/lismullin/index.html,Something,Iron Age,Radiocarbon
Banks,-2.9379142,58.734772,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Isbister,-2.9168771,58.749294,/blog/lismullin/index.html,Grooved,Neolithic,Radiocarbon
Smerquoy,-3.0415527,58.982758,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Unstan,-3.249425,58.986577,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Stones of Stenness,-3.2082776,58.994152,/blog/lismullin/index.html,Grooved,Neolithic,Radiocarbon
Barnhouse,-3.2067683,58.995783,/blog/lismullin/index.html,Flat,Neolithic,Radiocarbon
Wideford Hill,-3.0337839,58.996381,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Stonehall,-3.1020158,58.996537,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Maeshowe,-3.1883467,58.996582,/blog/lismullin/index.html,Uknown,Neolithic,Radiocarbon
NoB,-3.2149934,58.997053,/blog/lismullin/index.html,Flat,Neolithic,Radiocarbon
Quanterness,-3.0147489,59.000124,/blog/lismullin/index.html,Grooved,Neolithic,Radiocarbon
Ring of Brodgar,-3.2297693,59.001404,/blog/lismullin/index.html,Uknown,Neolithic,OSL
Crossiecrown,-3.0062311,59.006477,/blog/lismullin/index.html,Grooved,Neolithic,Radiocarbon
Knowes of Trotty,-3.1483195,59.038526,/blog/lismullin/index.html,Flat,Neolithic,Radiocarbon
Brae of Muckquoy,-3.0890864,59.039037,/blog/lismullin/index.html,Grooved,Neolithic,Radiocarbon
Skara Brae,-3.3417179,59.048748,/blog/lismullin/index.html,Flat,Neolithic,Radiocarbon
Ha'Breck,-2.9843044,59.116483,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Knowe of Lairo,-3.0516882,59.134203,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Green,-2.7550831,59.144691,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Knowe of Rowiegar,-3.0973358,59.150153,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Midhowe,-3.0994601,59.156422,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Quoyness,-2.5683475,59.225478,/blog/lismullin/index.html,Grooved,Neolithic,Radiocarbon
Pool,-2.6685654,59.22554,/blog/lismullin/index.html,Flat,Neolithic,Radiocarbon
Tofts Ness,-2.4284619,59.303333,/blog/lismullin/index.html,Flat,Neolithic,Radiocarbon
Point of Cott,-2.94197,59.311048,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Pierowall Quarry,-2.9876663,59.324091,/blog/lismullin/index.html,Grooved,Neolithic,Radiocarbon
LoN,-3.0068817,59.326189,/blog/lismullin/index.html,Flat,Neolithic,Radiocarbon
Knap of Howar,-2.9108508,59.349347,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
Holm of Papa Westray North,-2.8733368,59.353914,/blog/lismullin/index.html,Round,Neolithic,Radiocarbon
